ts,visits
2025-01-01 01:19:00,56
2025-01-01 01:20:00,76
2025-01-01 01:21:00,48
2025-01-01 01:22:00,56
2025-01-01 01:23:00,56
2025-01-01 01:24:00,36
2025-01-01 01:25:00,78
2025-01-01 01:26:00,54
2025-01-01 01:27:00,67
2025-01-01 01:28:00,79
2025-01-01 01:29:00,78
2025-01-01 01:30:00,84
2025-01-01 01:31:00,65
2025-01-01 01:32:00,57
2025-01-01 01:33:00,66
2025-01-01 01:34:00,26
2025-01-01 01:35:00,32
2025-01-01 01:36:00,36
2025-01-01 01:37:00,44
2025-01-01 01:38:00,79
2025-01-01 01:39:00,47
2025-01-01 01:40:00,61
2025-01-01 01:41:00,103
2025-01-01 01:42:00,62
2025-01-01 01:43:00,89
2025-01-01 01:44:00,48
2025-01-01 01:45:00,66
2025-01-01 01:46:00,48
2025-01-01 01:47:00,64
2025-01-01 01:48:00,93
2025-01-01 01:49:00,30
2025-01-01 01:50:00,84
2025-01-01 01:51:00,79
2025-01-01 01:52:00,59
2025-01-01 01:53:00,38
2025-01-01 01:54:00,76
2025-01-01 01:55:00,62
2025-01-01 01:56:00,81
2025-01-01 01:57:00,76
2025-01-01 01:58:00,116
2025-01-01 01:59:00,70
2025-01-01 02:00:00,51
2025-01-01 02:01:00,81
2025-01-01 02:02:00,83
2025-01-01 02:03:00,112
2025-01-01 02:04:00,99
2025-01-01 02:05:00,87
2025-01-01 02:06:00,115
2025-01-01 02:07:00,49
2025-01-01 02:08:00,64
2025-01-01 02:09:00,57
2025-01-01 02:10:00,71
2025-01-01 02:11:00,46
2025-01-01 02:12:00,97
2025-01-01 02:13:00,76
2025-01-01 02:14:00,45
2025-01-01 02:15:00,57
2025-01-01 02:16:00,91
2025-01-01 02:17:00,104
2025-01-01 02:18:00,133
2025-01-01 02:19:00,157
2025-01-01 02:20:00,95
2025-01-01 02:21:00,60
2025-01-01 02:22:00,32
2025-01-01 02:23:00,92
2025-01-01 02:24:00,66
2025-01-01 02:25:00,76
2025-01-01 02:26:00,72
2025-01-01 02:27:00,84
2025-01-01 02:28:00,114
2025-01-01 02:29:00,92
2025-01-01 02:30:00,85
2025-01-01 02:31:00,63
2025-01-01 02:32:00,48
2025-01-01 02:33:00,78
2025-01-01 02:34:00,89
2025-01-01 02:35:00,541
2025-01-01 02:36:00,95
2025-01-01 02:37:00,116
2025-01-01 02:38:00,80
2025-01-01 02:39:00,63
2025-01-01 02:40:00,69
2025-01-01 02:41:00,75
2025-01-01 02:42:00,147
2025-01-01 02:43:00,74
2025-01-01 02:44:00,116
2025-01-01 02:45:00,73
2025-01-01 02:46:00,119
2025-01-01 02:47:00,106
2025-01-01 02:48:00,93
2025-01-01 02:49:00,96
2025-01-01 02:50:00,81
2025-01-01 02:51:00,109
2025-01-01 02:52:00,87
2025-01-01 02:53:00,69
2025-01-01 02:54:00,68
2025-01-01 02:55:00,105
2025-01-01 02:56:00,140
2025-01-01 02:57:00,105
2025-01-01 02:58:00,99
2025-01-01 02:59:00,109
2025-01-01 03:00:00,135
2025-01-01 03:01:00,109
2025-01-01 03:02:00,94
2025-01-01 03:03:00,132
2025-01-01 03:04:00,116
2025-01-01 03:05:00,144
2025-01-01 03:06:00,111
2025-01-01 03:07:00,76
2025-01-01 03:08:00,73
2025-01-01 03:09:00,149
2025-01-01 03:10:00,151
2025-01-01 03:11:00,104
2025-01-01 03:12:00,100
2025-01-01 03:13:00,146
2025-01-01 03:14:00,82
2025-01-01 03:15:00,88
2025-01-01 03:16:00,127
2025-01-01 03:17:00,102
2025-01-01 03:18:00,112
2025-01-01 03:19:00,109
2025-01-01 03:20:00,122
2025-01-01 03:21:00,149
2025-01-01 03:22:00,117
2025-01-01 03:23:00,131
2025-01-01 03:24:00,64
2025-01-01 03:25:00,115
2025-01-01 03:26:00,96
2025-01-01 03:27:00,87
2025-01-01 03:28:00,96
2025-01-01 03:29:00,110
2025-01-01 03:30:00,142
2025-01-01 03:31:00,86
2025-01-01 03:32:00,121
2025-01-01 03:33:00,109
2025-01-01 03:34:00,113
2025-01-01 03:35:00,147
2025-01-01 03:36:00,136
2025-01-01 03:37:00,157
2025-01-01 03:38:00,120
2025-01-01 03:39:00,107
2025-01-01 03:40:00,119
2025-01-01 03:41:00,132
2025-01-01 03:42:00,130
2025-01-01 03:43:00,100
2025-01-01 03:44:00,129
2025-01-01 03:45:00,134
2025-01-01 03:46:00,191
2025-01-01 03:47:00,176
2025-01-01 03:48:00,108
2025-01-01 03:49:00,123
2025-01-01 03:50:00,94
2025-01-01 03:51:00,117
2025-01-01 03:52:00,140
2025-01-01 03:53:00,163
2025-01-01 03:54:00,115
2025-01-01 03:55:00,118
2025-01-01 03:56:00,81
2025-01-01 03:57:00,131
2025-01-01 03:58:00,109
2025-01-01 03:59:00,123
2025-01-01 04:00:00,115
2025-01-01 04:01:00,135
2025-01-01 04:02:00,94
2025-01-01 04:03:00,102
2025-01-01 04:04:00,193
2025-01-01 04:05:00,108
2025-01-01 04:06:00,113
2025-01-01 04:07:00,187
2025-01-01 04:08:00,215
2025-01-01 04:09:00,113
2025-01-01 04:10:00,134
2025-01-01 04:11:00,152
2025-01-01 04:12:00,188
2025-01-01 04:13:00,121
2025-01-01 04:14:00,140
2025-01-01 04:15:00,166
2025-01-01 04:16:00,158
2025-01-01 04:17:00,138
2025-01-01 04:18:00,145
2025-01-01 04:19:00,115
2025-01-01 04:20:00,144
2025-01-01 04:21:00,144
2025-01-01 04:22:00,157
2025-01-01 04:23:00,138
2025-01-01 04:24:00,164
2025-01-01 04:25:00,178
2025-01-01 04:26:00,158
2025-01-01 04:27:00,163
2025-01-01 04:28:00,156
2025-01-01 04:29:00,156
2025-01-01 04:30:00,138
2025-01-01 04:31:00,165
2025-01-01 04:32:00,155
2025-01-01 04:33:00,211
2025-01-01 04:34:00,198
2025-01-01 04:35:00,169
2025-01-01 04:36:00,141
2025-01-01 04:37:00,133
2025-01-01 04:38:00,191
2025-01-01 04:39:00,169
2025-01-01 04:40:00,175
2025-01-01 04:41:00,120
2025-01-01 04:42:00,188
2025-01-01 04:43:00,176
2025-01-01 04:44:00,138
2025-01-01 04:45:00,155
2025-01-01 04:46:00,174
2025-01-01 04:47:00,169
2025-01-01 04:48:00,161
2025-01-01 04:49:00,167
2025-01-01 04:50:00,164
2025-01-01 04:51:00,174
2025-01-01 04:52:00,208
2025-01-01 04:53:00,108
2025-01-01 04:54:00,167
2025-01-01 04:55:00,178
2025-01-01 04:56:00,181
2025-01-01 04:57:00,165
2025-01-01 04:58:00,131
2025-01-01 04:59:00,184
2025-01-01 05:00:00,220
2025-01-01 05:01:00,139
2025-01-01 05:02:00,200
2025-01-01 05:03:00,171
2025-01-01 05:04:00,178
2025-01-01 05:05:00,154
2025-01-01 05:06:00,173
2025-01-01 05:07:00,214
2025-01-01 05:08:00,197
2025-01-01 05:09:00,226
2025-01-01 05:10:00,213
2025-01-01 05:11:00,195
2025-01-01 05:12:00,229
2025-01-01 05:13:00,197
2025-01-01 05:14:00,207
2025-01-01 05:15:00,180
2025-01-01 05:16:00,190
2025-01-01 05:17:00,171
2025-01-01 05:18:00,214
2025-01-01 05:19:00,161
2025-01-01 05:20:00,210
2025-01-01 05:21:00,187
2025-01-01 05:22:00,222
2025-01-01 05:23:00,212
2025-01-01 05:24:00,239
2025-01-01 05:25:00,213
2025-01-01 05:26:00,156
2025-01-01 05:27:00,194
2025-01-01 05:28:00,167
2025-01-01 05:29:00,184
2025-01-01 05:30:00,236
2025-01-01 05:31:00,215
2025-01-01 05:32:00,182
2025-01-01 05:33:00,175
2025-01-01 05:34:00,202
2025-01-01 05:35:00,171
2025-01-01 05:36:00,185
2025-01-01 05:37:00,211
2025-01-01 05:38:00,233
2025-01-01 05:39:00,220
2025-01-01 05:40:00,148
2025-01-01 05:41:00,213
2025-01-01 05:42:00,208
2025-01-01 05:43:00,218
2025-01-01 05:44:00,248
2025-01-01 05:45:00,157
2025-01-01 05:46:00,195
2025-01-01 05:47:00,225
2025-01-01 05:48:00,171
2025-01-01 05:49:00,248
2025-01-01 05:50:00,222
2025-01-01 05:51:00,234
2025-01-01 05:52:00,199
2025-01-01 05:53:00,235
2025-01-01 05:54:00,242
2025-01-01 05:55:00,222
2025-01-01 05:56:00,222
2025-01-01 05:57:00,224
2025-01-01 05:58:00,196
2025-01-01 05:59:00,215
2025-01-01 06:00:00,216
2025-01-01 06:01:00,230
2025-01-01 06:02:00,246
2025-01-01 06:03:00,195
2025-01-01 06:04:00,219
2025-01-01 06:05:00,260
2025-01-01 06:06:00,205
2025-01-01 06:07:00,204
2025-01-01 06:08:00,230
2025-01-01 06:09:00,247
2025-01-01 06:10:00,227
2025-01-01 06:11:00,261
2025-01-01 06:12:00,250
2025-01-01 06:13:00,250
2025-01-01 06:14:00,243
2025-01-01 06:15:00,288
2025-01-01 06:16:00,226
2025-01-01 06:17:00,182
2025-01-01 06:18:00,273
2025-01-01 06:19:00,222
2025-01-01 06:20:00,237
2025-01-01 06:21:00,267
2025-01-01 06:22:00,195
2025-01-01 06:23:00,205
2025-01-01 06:24:00,197
2025-01-01 06:25:00,218
2025-01-01 06:26:00,249
2025-01-01 06:27:00,252
2025-01-01 06:28:00,247
2025-01-01 06:29:00,205
2025-01-01 06:30:00,183
2025-01-01 06:31:00,243
2025-01-01 06:32:00,231
2025-01-01 06:33:00,255
2025-01-01 06:34:00,261
2025-01-01 06:35:00,248
2025-01-01 06:36:00,264
2025-01-01 06:37:00,252
2025-01-01 06:38:00,260
2025-01-01 06:39:00,230
2025-01-01 06:40:00,244
2025-01-01 06:41:00,254
2025-01-01 06:42:00,270
2025-01-01 06:43:00,240
2025-01-01 06:44:00,264
2025-01-01 06:45:00,245
2025-01-01 06:46:00,249
2025-01-01 06:47:00,274
2025-01-01 06:48:00,204
2025-01-01 06:49:00,222
2025-01-01 06:50:00,218
2025-01-01 06:51:00,198
2025-01-01 06:52:00,240
2025-01-01 06:53:00,276
2025-01-01 06:54:00,251
2025-01-01 06:55:00,264
2025-01-01 06:56:00,287
2025-01-01 06:57:00,293
2025-01-01 06:58:00,259
2025-01-01 06:59:00,295
2025-01-01 07:00:00,265
2025-01-01 07:01:00,242
2025-01-01 07:02:00,249
2025-01-01 07:03:00,227
2025-01-01 07:04:00,243
2025-01-01 07:05:00,257
2025-01-01 07:06:00,286
2025-01-01 07:07:00,310
2025-01-01 07:08:00,233
2025-01-01 07:09:00,278
2025-01-01 07:10:00,243
2025-01-01 07:11:00,282
2025-01-01 07:12:00,267
2025-01-01 07:13:00,225
2025-01-01 07:14:00,295
2025-01-01 07:15:00,257
2025-01-01 07:16:00,260
2025-01-01 07:17:00,247
2025-01-01 07:18:00,258
2025-01-01 07:19:00,286
2025-01-01 07:20:00,271
2025-01-01 07:21:00,285
2025-01-01 07:22:00,286
2025-01-01 07:23:00,311
2025-01-01 07:24:00,270
2025-01-01 07:25:00,242
2025-01-01 07:26:00,307
2025-01-01 07:27:00,272
2025-01-01 07:28:00,309
2025-01-01 07:29:00,292
2025-01-01 07:30:00,279
2025-01-01 07:31:00,292
2025-01-01 07:32:00,333
2025-01-01 07:33:00,337
2025-01-01 07:34:00,287
2025-01-01 07:35:00,290
2025-01-01 07:36:00,314
2025-01-01 07:37:00,266
2025-01-01 07:38:00,296
2025-01-01 07:39:00,288
2025-01-01 07:40:00,297
2025-01-01 07:41:00,269
2025-01-01 07:42:00,251
2025-01-01 07:43:00,239
2025-01-01 07:44:00,264
2025-01-01 07:45:00,281
2025-01-01 07:46:00,286
2025-01-01 07:47:00,342
2025-01-01 07:48:00,322
2025-01-01 07:49:00,271
2025-01-01 07:50:00,304
2025-01-01 07:51:00,286
2025-01-01 07:52:00,290
2025-01-01 07:53:00,302
2025-01-01 07:54:00,314
2025-01-01 07:55:00,290
2025-01-01 07:56:00,326
2025-01-01 07:57:00,272
2025-01-01 07:58:00,301
2025-01-01 07:59:00,366
2025-01-01 08:00:00,308
2025-01-01 08:01:00,338
2025-01-01 08:02:00,306
2025-01-01 08:03:00,318
2025-01-01 08:04:00,303
2025-01-01 08:05:00,301
2025-01-01 08:06:00,286
2025-01-01 08:07:00,317
2025-01-01 08:08:00,286
2025-01-01 08:09:00,324
2025-01-01 08:10:00,335
2025-01-01 08:11:00,318
2025-01-01 08:12:00,302
2025-01-01 08:13:00,321
2025-01-01 08:14:00,303
2025-01-01 08:15:00,335
2025-01-01 08:16:00,266
2025-01-01 08:17:00,304
2025-01-01 08:18:00,263
2025-01-01 08:19:00,276
2025-01-01 08:20:00,348
2025-01-01 08:21:00,337
2025-01-01 08:22:00,297
2025-01-01 08:23:00,278
2025-01-01 08:24:00,242
2025-01-01 08:25:00,303
2025-01-01 08:26:00,378
2025-01-01 08:27:00,329
2025-01-01 08:28:00,305
2025-01-01 08:29:00,331
2025-01-01 08:30:00,281
2025-01-01 08:31:00,313
2025-01-01 08:32:00,324
2025-01-01 08:33:00,319
2025-01-01 08:34:00,342
2025-01-01 08:35:00,331
2025-01-01 08:36:00,340
2025-01-01 08:37:00,307
2025-01-01 08:38:00,347
2025-01-01 08:39:00,366
2025-01-01 08:40:00,301
2025-01-01 08:41:00,304
2025-01-01 08:42:00,360
2025-01-01 08:43:00,322
2025-01-01 08:44:00,363
2025-01-01 08:45:00,317
2025-01-01 08:46:00,365
2025-01-01 08:47:00,333
2025-01-01 08:48:00,336
2025-01-01 08:49:00,370
2025-01-01 08:50:00,322
2025-01-01 08:51:00,308
2025-01-01 08:52:00,321
2025-01-01 08:53:00,344
2025-01-01 08:54:00,294
2025-01-01 08:55:00,350
2025-01-01 08:56:00,321
2025-01-01 08:57:00,363
2025-01-01 08:58:00,275
2025-01-01 08:59:00,316
2025-01-01 09:00:00,294
2025-01-01 09:01:00,835
2025-01-01 09:02:00,343
2025-01-01 09:03:00,333
2025-01-01 09:04:00,332
2025-01-01 09:05:00,335
2025-01-01 09:06:00,344
2025-01-01 09:07:00,314
2025-01-01 09:08:00,358
2025-01-01 09:09:00,357
2025-01-01 09:10:00,351
2025-01-01 09:11:00,356
2025-01-01 09:12:00,350
2025-01-01 09:13:00,393
2025-01-01 09:14:00,341
2025-01-01 09:15:00,336
2025-01-01 09:16:00,325
2025-01-01 09:17:00,319
2025-01-01 09:18:00,314
2025-01-01 09:19:00,323
2025-01-01 09:20:00,344
2025-01-01 09:21:00,355
2025-01-01 09:22:00,348
2025-01-01 09:23:00,328
2025-01-01 09:24:00,370
2025-01-01 09:25:00,367
2025-01-01 09:26:00,345
2025-01-01 09:27:00,333
2025-01-01 09:28:00,363
2025-01-01 09:29:00,355
2025-01-01 09:30:00,314
2025-01-01 09:31:00,349
2025-01-01 09:32:00,358
2025-01-01 09:33:00,329
2025-01-01 09:34:00,357
2025-01-01 09:35:00,316
2025-01-01 09:36:00,386
2025-01-01 09:37:00,385
2025-01-01 09:38:00,348
2025-01-01 09:39:00,363
2025-01-01 09:40:00,294
2025-01-01 09:41:00,326
2025-01-01 09:42:00,348
2025-01-01 09:43:00,329
2025-01-01 09:44:00,374
2025-01-01 09:45:00,407
2025-01-01 09:46:00,328
2025-01-01 09:47:00,337
2025-01-01 09:48:00,364
2025-01-01 09:49:00,399
2025-01-01 09:50:00,328
2025-01-01 09:51:00,365
2025-01-01 09:52:00,405
2025-01-01 09:53:00,319
2025-01-01 09:54:00,328
2025-01-01 09:55:00,350
2025-01-01 09:56:00,348
2025-01-01 09:57:00,382
2025-01-01 09:58:00,368
2025-01-01 09:59:00,318
2025-01-01 10:00:00,375
2025-01-01 10:01:00,348
2025-01-01 10:02:00,395
2025-01-01 10:03:00,348
2025-01-01 10:04:00,348
2025-01-01 10:05:00,378
2025-01-01 10:06:00,384
2025-01-01 10:07:00,376
2025-01-01 10:08:00,323
2025-01-01 10:09:00,379
2025-01-01 10:10:00,340
2025-01-01 10:11:00,372
2025-01-01 10:12:00,331
2025-01-01 10:13:00,378
2025-01-01 10:14:00,347
2025-01-01 10:15:00,335
2025-01-01 10:16:00,386
2025-01-01 10:17:00,374
2025-01-01 10:18:00,353
2025-01-01 10:19:00,405
2025-01-01 10:20:00,358
2025-01-01 10:21:00,370
2025-01-01 10:22:00,376
2025-01-01 10:23:00,354
2025-01-01 10:24:00,382
2025-01-01 10:25:00,357
2025-01-01 10:26:00,361
2025-01-01 10:27:00,405
2025-01-01 10:28:00,345
2025-01-01 10:29:00,311
2025-01-01 10:30:00,412
2025-01-01 10:31:00,436
2025-01-01 10:32:00,362
2025-01-01 10:33:00,324
2025-01-01 10:34:00,365
2025-01-01 10:35:00,366
2025-01-01 10:36:00,369
2025-01-01 10:37:00,346
2025-01-01 10:38:00,389
2025-01-01 10:39:00,387
2025-01-01 10:40:00,337
2025-01-01 10:41:00,392
2025-01-01 10:42:00,426
2025-01-01 10:43:00,380
2025-01-01 10:44:00,367
2025-01-01 10:45:00,372
2025-01-01 10:46:00,391
2025-01-01 10:47:00,333
2025-01-01 10:48:00,381
2025-01-01 10:49:00,367
2025-01-01 10:50:00,423
2025-01-01 10:51:00,373
2025-01-01 10:52:00,419
2025-01-01 10:53:00,350
2025-01-01 10:54:00,392
2025-01-01 10:55:00,386
2025-01-01 10:56:00,356
2025-01-01 10:57:00,383
2025-01-01 10:58:00,409
2025-01-01 10:59:00,371
2025-01-01 11:00:00,337
2025-01-01 11:01:00,379
2025-01-01 11:02:00,357
2025-01-01 11:03:00,371
2025-01-01 11:04:00,378
2025-01-01 11:05:00,337
2025-01-01 11:06:00,340
2025-01-01 11:07:00,392
2025-01-01 11:08:00,367
2025-01-01 11:09:00,316
2025-01-01 11:10:00,400
2025-01-01 11:11:00,388
2025-01-01 11:12:00,363
2025-01-01 11:13:00,348
2025-01-01 11:14:00,402
2025-01-01 11:15:00,390
2025-01-01 11:16:00,441
2025-01-01 11:17:00,392
2025-01-01 11:18:00,391
2025-01-01 11:19:00,378
2025-01-01 11:20:00,402
2025-01-01 11:21:00,398
2025-01-01 11:22:00,414
2025-01-01 11:23:00,369
2025-01-01 11:24:00,372
2025-01-01 11:25:00,371
2025-01-01 11:26:00,402
2025-01-01 11:27:00,420
2025-01-01 11:28:00,371
2025-01-01 11:29:00,372
2025-01-01 11:30:00,391
2025-01-01 11:31:00,377
2025-01-01 11:32:00,407
2025-01-01 11:33:00,327
2025-01-01 11:34:00,363
2025-01-01 11:35:00,364
2025-01-01 11:36:00,326
2025-01-01 11:37:00,360
2025-01-01 11:38:00,361
2025-01-01 11:39:00,379
2025-01-01 11:40:00,412
2025-01-01 11:41:00,378
2025-01-01 11:42:00,358
2025-01-01 11:43:00,383
2025-01-01 11:44:00,410
2025-01-01 11:45:00,360
2025-01-01 11:46:00,361
2025-01-01 11:47:00,398
2025-01-01 11:48:00,379
2025-01-01 11:49:00,400
2025-01-01 11:50:00,384
2025-01-01 11:51:00,402
2025-01-01 11:52:00,359
2025-01-01 11:53:00,384
2025-01-01 11:54:00,379
2025-01-01 11:55:00,354
2025-01-01 11:56:00,345
2025-01-01 11:57:00,402
2025-01-01 11:58:00,376
2025-01-01 11:59:00,359
2025-01-01 12:00:00,382
2025-01-01 12:01:00,413
2025-01-01 12:02:00,327
2025-01-01 12:03:00,347
2025-01-01 12:04:00,361
2025-01-01 12:05:00,421
2025-01-01 12:06:00,392
2025-01-01 12:07:00,404
2025-01-01 12:08:00,356
2025-01-01 12:09:00,356
2025-01-01 12:10:00,396
2025-01-01 12:11:00,386
2025-01-01 12:12:00,398
2025-01-01 12:13:00,380
2025-01-01 12:14:00,391
2025-01-01 12:15:00,388
2025-01-01 12:16:00,404
2025-01-01 12:17:00,404
2025-01-01 12:18:00,343
2025-01-01 12:19:00,328
2025-01-01 12:20:00,409
2025-01-01 12:21:00,414
2025-01-01 12:22:00,358
2025-01-01 12:23:00,337
2025-01-01 12:24:00,386
2025-01-01 12:25:00,407
2025-01-01 12:26:00,428
2025-01-01 12:27:00,396
2025-01-01 12:28:00,374
2025-01-01 12:29:00,361
2025-01-01 12:30:00,383
2025-01-01 12:31:00,376
2025-01-01 12:32:00,358
2025-01-01 12:33:00,434
2025-01-01 12:34:00,427
2025-01-01 12:35:00,411
2025-01-01 12:36:00,359
2025-01-01 12:37:00,404
2025-01-01 12:38:00,398
2025-01-01 12:39:00,393
2025-01-01 12:40:00,413
2025-01-01 12:41:00,398
2025-01-01 12:42:00,400
2025-01-01 12:43:00,398
2025-01-01 12:44:00,390
2025-01-01 12:45:00,337
2025-01-01 12:46:00,383
2025-01-01 12:47:00,367
2025-01-01 12:48:00,349
2025-01-01 12:49:00,423
2025-01-01 12:50:00,424
2025-01-01 12:51:00,414
2025-01-01 12:52:00,387
2025-01-01 12:53:00,414
2025-01-01 12:54:00,380
2025-01-01 12:55:00,385
2025-01-01 12:56:00,352
2025-01-01 12:57:00,389
2025-01-01 12:58:00,381
2025-01-01 12:59:00,346
2025-01-01 13:00:00,378
2025-01-01 13:01:00,377
2025-01-01 13:02:00,423
2025-01-01 13:03:00,401
2025-01-01 13:04:00,378
2025-01-01 13:05:00,384
2025-01-01 13:06:00,379
2025-01-01 13:07:00,372
2025-01-01 13:08:00,350
2025-01-01 13:09:00,373
2025-01-01 13:10:00,358
2025-01-01 13:11:00,345
2025-01-01 13:12:00,389
2025-01-01 13:13:00,386
2025-01-01 13:14:00,331
2025-01-01 13:15:00,373
2025-01-01 13:16:00,400
2025-01-01 13:17:00,402
2025-01-01 13:18:00,401
2025-01-01 13:19:00,376
2025-01-01 13:20:00,353
2025-01-01 13:21:00,347
2025-01-01 13:22:00,383
2025-01-01 13:23:00,383
2025-01-01 13:24:00,406
2025-01-01 13:25:00,401
2025-01-01 13:26:00,370
2025-01-01 13:27:00,342
2025-01-01 13:28:00,365
2025-01-01 13:29:00,378
2025-01-01 13:30:00,367
2025-01-01 13:31:00,357
2025-01-01 13:32:00,378
2025-01-01 13:33:00,359
2025-01-01 13:34:00,355
2025-01-01 13:35:00,378
2025-01-01 13:36:00,360
2025-01-01 13:37:00,376
2025-01-01 13:38:00,376
2025-01-01 13:39:00,341
2025-01-01 13:40:00,357
2025-01-01 13:41:00,405
2025-01-01 13:42:00,339
2025-01-01 13:43:00,315
2025-01-01 13:44:00,321
2025-01-01 13:45:00,368
2025-01-01 13:46:00,368
2025-01-01 13:47:00,364
2025-01-01 13:48:00,397
2025-01-01 13:49:00,299
2025-01-01 13:50:00,376
2025-01-01 13:51:00,405
2025-01-01 13:52:00,337
2025-01-01 13:53:00,355
2025-01-01 13:54:00,346
2025-01-01 13:55:00,342
2025-01-01 13:56:00,356
2025-01-01 13:57:00,399
2025-01-01 13:58:00,409
2025-01-01 13:59:00,354
2025-01-01 14:00:00,410
2025-01-01 14:01:00,363
2025-01-01 14:02:00,406
2025-01-01 14:03:00,359
2025-01-01 14:04:00,364
2025-01-01 14:05:00,370
2025-01-01 14:06:00,440
2025-01-01 14:07:00,381
2025-01-01 14:08:00,342
2025-01-01 14:09:00,383
2025-01-01 14:10:00,350
2025-01-01 14:11:00,346
2025-01-01 14:12:00,381
2025-01-01 14:13:00,358
2025-01-01 14:14:00,364
2025-01-01 14:15:00,357
2025-01-01 14:16:00,365
2025-01-01 14:17:00,367
2025-01-01 14:18:00,307
2025-01-01 14:19:00,372
2025-01-01 14:20:00,330
2025-01-01 14:21:00,318
2025-01-01 14:22:00,352
2025-01-01 14:23:00,356
2025-01-01 14:24:00,336
2025-01-01 14:25:00,373
2025-01-01 14:26:00,319
2025-01-01 14:27:00,342
2025-01-01 14:28:00,337
2025-01-01 14:29:00,350
2025-01-01 14:30:00,357
2025-01-01 14:31:00,325
2025-01-01 14:32:00,368
2025-01-01 14:33:00,351
2025-01-01 14:34:00,301
2025-01-01 14:35:00,299
2025-01-01 14:36:00,347
2025-01-01 14:37:00,342
2025-01-01 14:38:00,344
2025-01-01 14:39:00,346
2025-01-01 14:40:00,352
2025-01-01 14:41:00,369
2025-01-01 14:42:00,317
2025-01-01 14:43:00,315
2025-01-01 14:44:00,317
2025-01-01 14:45:00,351
2025-01-01 14:46:00,374
2025-01-01 14:47:00,332
2025-01-01 14:48:00,280
2025-01-01 14:49:00,299
2025-01-01 14:50:00,320
2025-01-01 14:51:00,327
2025-01-01 14:52:00,330
2025-01-01 14:53:00,341
2025-01-01 14:54:00,331
2025-01-01 14:55:00,365
2025-01-01 14:56:00,321
2025-01-01 14:57:00,316
2025-01-01 14:58:00,349
2025-01-01 14:59:00,298
2025-01-01 15:00:00,346
2025-01-01 15:01:00,338
2025-01-01 15:02:00,331
2025-01-01 15:03:00,374
2025-01-01 15:04:00,319
2025-01-01 15:05:00,385
2025-01-01 15:06:00,327
2025-01-01 15:07:00,301
2025-01-01 15:08:00,334
2025-01-01 15:09:00,305
2025-01-01 15:10:00,312
2025-01-01 15:11:00,340
2025-01-01 15:12:00,344
2025-01-01 15:13:00,314
2025-01-01 15:14:00,354
2025-01-01 15:15:00,357
2025-01-01 15:16:00,364
2025-01-01 15:17:00,340
2025-01-01 15:18:00,361
2025-01-01 15:19:00,279
2025-01-01 15:20:00,318
2025-01-01 15:21:00,303
2025-01-01 15:22:00,327
2025-01-01 15:23:00,310
2025-01-01 15:24:00,319
2025-01-01 15:25:00,370
2025-01-01 15:26:00,318
2025-01-01 15:27:00,332
2025-01-01 15:28:00,315
2025-01-01 15:29:00,322
2025-01-01 15:30:00,320
2025-01-01 15:31:00,331
